horse_id,breed,purpose,gait,mp4_filename,keypoint_path,frame_count,direction,lameness1,lameness2,lameness3,lameness4,sick_leg2,sick_leg3,sick_leg4,lameness_final,sum_lameness,num_labels,score,num_missing_frames,has_multiple_videos
0011136,더러브렛,ride,trot,0011136_part3_2_c_20231018_122009_Right_001.mp4,0011136/trot/right/auto/CollectedData_teamDLC.csv,75,LtoR,0,,,,,,,0,0.0,1,,0,False
0011136,더러브렛,ride,trot,0011136_part3_2_c_20231018_122009_Left_001.mp4,0011136/trot/left/auto/CollectedData_teamDLC.csv,75,RtoL,0,,,,,,,0,0.0,1,,0,False
0011136,더러브렛,ride,walk,0011136_part3_1_c_20231018_121908_Front_001.mp4,0011136/walk/front/auto/CollectedData_teamDLC.csv,75,BtoF,0,,,,,,,0,0.0,1,,0,False
0011136,더러브렛,ride,walk,0011136_part3_1_c_20231018_121908_Rear_001.mp4,0011136/walk/rear/auto/CollectedData_teamDLC.csv,75,FtoB,0,,,,,,,0,0.0,1,,0,False
0015385,더러브렛,ride,walk,0015385_part3_1_c_20231013_095637_Rear_001.mp4,0015385/walk/rear/auto/CollectedData_teamDLC.csv,75,FtoB,0,,,,,,,0,0.0,1,,0,False
0017624,더러브렛,ride,trot,0017624_part3_1_c_20231107_110348_Front_002.mp4,0017624/trot/front/auto/CollectedData_teamDLC.csv,75,BtoF,0,,,,,,,0,0.0,1,,0,False
0017624,더러브렛,ride,trot,0017624_part3_1_c_20231107_110348_Rear_001.mp4,0017624/trot/rear/auto/CollectedData_teamDLC.csv,75,FtoB,0,,,,,,,0,0.0,1,,0,False
0017624,더러브렛,ride,trot,0017624_part3_2_c_20231107_110348_Right_002.mp4,0017624/trot/right/auto/CollectedData_teamDLC.csv,75,LtoR,0,,,,,,,0,0.0,1,,0,False
0017624,더러브렛,ride,trot,0017624_part3_2_c_20231107_110348_Left_001.mp4,0017624/trot/left/auto/CollectedData_teamDLC.csv,75,RtoL,0,,,,,,,0,0.0,1,,0,False
0017624,더러브렛,ride,walk,0017624_part3_1_c_20231107_110113_Front_001.mp4,0017624/walk/front/auto/CollectedData_teamDLC.csv,75,BtoF,0,,,,,,,0,0.0,1,,0,False
0017624,더러브렛,ride,walk,0017624_part3_1_c_20231107_110113_Rear_001.mp4,0017624/walk/rear/auto/CollectedData_teamDLC.csv,75,FtoB,0,,,,,,,0,0.0,1,,0,False
0017895,더러브렛,ride,trot,0017895_part3_1_c_20231010_093628_Front_002.mp4,0017895/trot/front/auto/CollectedData_teamDLC.csv,75,BtoF,0,,,,,,,0,0.0,1,,0,False
0017895,더러브렛,ride,trot,0017895_part3_1_c_20231010_093628_Rear_003.mp4,0017895/trot/rear/auto/CollectedData_teamDLC.csv,75,FtoB,0,,,,,,,0,0.0,1,,0,False
0017895,더러브렛,ride,trot,0017895_part3_2_c_20231010_093635_Right_002.mp4,0017895/trot/right/auto/CollectedData_teamDLC.csv,75,LtoR,0,,,,,,,0,0.0,1,,0,False
